Supplementary Tabl 4.2. Phenotype data formatted for calculating correlations and QTL mapping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only winter/extended cold temperature associated traits were used for QTL mapping in this chapter (columns D:AE). Additional columns used to calculate correlations. Planting replicates indicated as W1-W3. Spike replicates indicated as 1 or 2. anth = anthocyanin. OD = average of T and C experimental replicates. T = cold shock/LMA-treated. C = control/untreated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Genotype,Subpop. ID,WLMA freq.,cube W avg.,cube W1 avg.,cube W2 avg.,cube W3 avg.,cube W1.S1 avg.,cube W1.S2 avg.,cube W2.S1 avg.,cube W2.S2 avg.,cube W3.S1 avg.,cube W3.S2 avg.,W avg.,W1 avg.,W2 avg.,W3 avg.,W1.S1 avg.,W1.S2 avg.,W2.S1 avg.,W2.S2 avg.,W3.S1 avg.,W3.S2 avg.,avg. anth. count,avg. grain fill,avg. spike distortion,avg. spike curl,W1.anth. count,W2.anth. count,W3.anth. count,TLMA_freq,CLMA_freq,cube avg. OD,cube avg. T,cube avg. C
HT080125LU,22,HT080125LU_22,2,1.210526602,1.650963624,0.684435395,0.794229307,1.650963624,1.650963624,0.575645149,0.766593146,NA,0.794229307,1.773875,4.5,0.320625,0.501,4.5,4.5,0.19075,0.4505,NA,0.501,3,3,0.333333333,0,3,4,2,3,3,0.696358642,0.754674508,0.651279531
HT080125LU,23,HT080125LU_23,3,0.81626849,0.705232893,0.968830205,0.71887427,0.747696637,0.656927871,0.610464575,1.167471101,0.695377708,0.740927738,0.543875,0.35075,0.909375,0.3715,0.418,0.2835,0.2275,1.59125,0.33625,0.40675,2,2.666666667,0,0,0,3,3,2,3,0.694566781,0.722883243,0.647177107
HT080125LU,24,HT080125LU_24,3,1.521936878,1.163668036,1.650963624,1.650963624,0.975662491,1.305059181,1.650963624,1.650963624,1.650963624,1.650963624,3.52525,1.57575,4.5,4.5,0.92875,2.22275,4.5,4.5,4.5,4.5,2.333333333,2.666666667,0,0.333333333,3,2,2,3,3,0.815547342,0.695714725,0.907804729
HT080125LU,25,HT080125LU_25,0,0.564316487,0.587471705,0.548619125,0.555320271,0.590594058,0.584315805,0.544855614,0.552331699,0.602305941,0.498663095,0.179708333,0.20275,0.165125,0.17125,0.206,0.1995,0.16175,0.1685,0.2185,0.124,0.666666667,3,0,0.333333333,0,0,2,2,3,0.624901865,0.666844397,0.595530054
HT080125LU,26,HT080125LU_26,2,1.098344618,1.441086821,0.942508015,0.525358787,1.264002557,1.582890612,1.137417979,0.587713066,0.515827056,0.534556654,1.325,2.99275,0.83725,0.145,2.0195,3.966,1.4715,0.203,0.13725,0.15275,2.666666667,2.666666667,0,0,2,3,3,3,3,0.666068909,0.678030876,0.653661128
HT080125LU,27,HT080125LU_27,2,0.832214053,0.817205438,1.007772761,0.542742111,0.837415526,0.795943002,0.710554351,1.190727141,0.509806411,0.572102627,0.576375,0.54575,1.0235,0.159875,0.58725,0.50425,0.35875,1.68825,0.1325,0.18725,3,3,0,0,3,3,3,2,3,0.686872706,0.693072253,0.680559181
HT080125LU,28,HT080125LU_28,3,1.35438295,1.303467077,1.535416461,1.174188364,1.425756242,1.152546343,1.443130407,1.617770647,1.169119556,1.179213783,2.484416667,2.214625,3.61975,1.618875,2.89825,1.531,3.0055,4.234,1.598,1.63975,3,2,0.666666667,0.333333333,3,2,4,3,3,0.848854667,0.979267582,0.657474534
HT080125LU,29,HT080125LU_29,3,1.199237556,1.417053335,0.74784567,1.240812639,1.309059014,1.510701252,0.78770256,0.70321649,0.85224321,1.473881178,1.724708333,2.8455,0.41825,1.910375,2.24325,3.44775,0.48875,0.34775,0.619,3.20175,2.666666667,3,0.333333333,0.333333333,3,3,2,2,1,0.807794187,0.712666252,0.950015389
HT080125LU,2,HT080125LU_2,3,1.61175693,1.630611762,1.565165052,1.637524522,1.609738779,1.650963624,1.650963624,1.468761355,1.650963624,1.623861135,4.186958333,4.335625,3.83425,4.391,4.17125,4.5,4.5,3.1685,4.5,4.282,2,2,1,0,2,2,2,2,3,0.938251407,0.88441977,0.988520909
HT080125LU,30,HT080125LU_30,2,1.004011663,0.733026157,1.354920317,0.537168535,0.749184298,0.716122416,0.780108466,1.650963624,0.547370367,0.526563743,1.012083333,0.393875,2.487375,0.155,0.4205,0.36725,0.47475,4.5,0.164,0.146,1.666666667,3,0.333333333,0.333333333,2,2,1,3,2,0.666053255,0.698323653,0.630310309
